ticker,cusip,as_of_date,human_rating,forward_return_5d,forward_return_10d,forward_return_21d,forward_return_63d,cname,analyst,year,ai_rating,ai_confidence,ai_base_score,ai_confidence_value,ai_signal
AAPL,03783310,2011-01-04,BUY,0.03370152936395523,0.051888072326720644,0.03051700834564862,0.07386277660470368,APPLE INC,DEDE          K,2011,Hold,High,0.0,1.0,0.0
STPL,89417E10,2013-09-17,NEUTRAL,0.01779191704960517,0.006362672322375303,-0.02215152586308483,0.03794037940379402,TRAVELERS COS IN,MOAZAMI       B,2013,Sell,High,-2.0,1.0,-2.0
MMM,88579Y10,2012-09-13,BUY,0.01488159895720191,0.018140343254399206,0.025744079947860172,-0.04388442320225956,3M CO,OBIN          A,2012,Buy,Medium,1.0,0.6,0.6
CAT,14912310,2014-11-20,BUY,0.040650406504064956,-0.03026741110784605,-0.09207561955137629,-0.1495739053776081,CATERPILLAR INC,CONNORS       R,2014,Buy,Medium,1.0,0.6,0.6
JNJ,47816010,2016-06-14,HOLD,-0.004952185792349712,-0.012721994535519202,0.04397199453551905,0.02740778688524585,JOHNSON & JOHNSO,HOLFORD       J,2016,Sell,High,-2.0,1.0,-2.0
KO,19121610,2014-10-27,NEUTRAL,0.025760549558390685,0.037536800785083445,0.05299313052011786,0.0515210991167812,COCA-COLA CO,LONGLEY       A,2014,Sell,Medium,-2.0,0.6,-1.2
WMT,93114210,2016-10-21,NEUTRAL,0.018290898448931864,0.024582967515364297,0.042288557213930406,0.017559262510974633,WALMART,NAUGHTON      S,2016,Hold,Medium,0.0,0.6,0.0
IBM,45920010,2011-01-20,OVERVALUED,0.03620025673940944,0.039794608472400454,0.05320924261874201,0.02721431322207952,INTL BUS MACH,GOGIA         S,2011,StrongBuy,Medium,2.0,0.6,1.2
CHL,46625H10,2015-06-29,PERFORM,0.0019345238095237417,-0.016220238095238145,0.030654761904761938,-0.04613095238095251,JPMORGAN,KOTOWSKI      C,2015,Sell,High,-2.0,1.0,-2.0
CAT,14912310,2018-07-31,EQUALWEIGHT,-0.03004172461752449,-0.05479833101529919,-0.026495062586926278,0.07663428372739906,CATERPILLAR,SEIDEN        A,2018,UnderPerform,Medium,-1.0,0.6,-0.6
AMZN,02313510,2016-01-04,NEUTRAL,-0.030220255109503324,-0.0690591542890651,-0.06351741885300273,-0.1164696481337172,AMAZON.COM,CAKMAK        J,2016,Sell,High,-2.0,1.0,-2.0
VISA,92826C83,2018-07-17,OUTPERFORM,0.002792896018332962,0.007662632483529253,0.004583213978802742,0.057218562016614224,VISA,PELLER        D,2018,StrongBuy,High,2.0,1.0,2.0
KO,19121610,2017-01-09,SELL/NEUTRAL,-0.0024201355275895796,-0.0043562439496611744,0.0014520813165537821,0.01718296224588579,COCA- COLA,HONG          J,2017,UnderPerform,Medium,-1.0,0.6,-0.6
NIKE,65410610,2012-01-19,OVERVALUED,0.006202008269344314,0.01781846820240207,0.04114983264422137,0.09263634573734984,NIKE INC,SWINAND       P,2012,UnderPerform,Medium,-1.0,0.6,-0.6
IBM,45920010,2015-07-23,EQUALWT/CAUTIOUS,-0.010387683175662972,-0.018673035305756414,-0.04117968218635992,-0.10709206702528913,INTL BUS MACH,HUBERTY       K,2015,Sell,Medium,-2.0,0.6,-1.2
HD,43707610,2016-10-31,NEUTRAL,0.014261126137201827,0.05753626751905578,0.05089746742070317,0.10081140890090974,HOME DEPOT,KEITH         P,2016,Sell,Medium,-2.0,0.6,-1.2
JNJ,47816010,2017-10-09,1 OUTPERFORM,0.02000749344323729,0.06436860247283628,0.04908205320344707,0.0576245784938179,JOHNSON & JOHNSO,BIEGELSEN     L,2017,UnderPerform,Medium,-1.0,0.6,-0.6
STPL,89417E10,2014-12-02,NEUTRAL,0.01379310344827584,-0.011877394636015412,0.02442528735632181,0.015708812260536404,TRAVELERS COS IN,COHEN         J,2014,UnderPerform,Medium,-1.0,0.6,-0.6
HD,43707610,2013-12-05,NEUTRAL,0.0008912655971478632,0.0071301247771834485,0.038324420677361734,-0.030303030303030425,HOME DEPOT INC,"BASHAM, CFA   S",2013,StrongBuy,Medium,2.0,0.6,1.2
AAPL,03783310,2012-09-20,POSITIVE,-0.03600977478159762,-0.05626162793385395,-0.10104483897173554,-0.18205239470370124,APPLE INC,KRAMER        R,2012,StrongBuy,High,2.0,1.0,2.0
CSCO,17275R10,2017-02-16,HOLD,0.015773809523809558,0.019642857142857042,0.013988095238095204,-0.02291666666666676,CISCO SYSTEMS,WERMANN       I,2017,UnderPerform,Medium,-1.0,0.6,-0.6
STPL,89417E10,2018-01-26,NEUTRAL,0.003346272252710481,-0.052871101592825445,-0.05528041761477708,-0.09757729888903752,TRAVELERS,HEAGERTY      J,2018,UnderPerform,Medium,-1.0,0.6,-0.6
JNJ,47816010,2011-01-10,MARKET PERFORM,-0.0009652509652508875,0.011261261261261308,-0.03844916344916335,-0.048745173745173655,JOHNSON & JOHNSN,BEDFORD       J,2011,UnderPerform,Medium,-1.0,0.6,-0.6
DIS,25468710,2011-02-09,OVERWEIGHT,-0.0027675276752766936,-0.016374538745387475,-0.0016143911439114457,-0.03828413284132833,WALT DISNEY CO,FABER         H,2011,UnderPerform,Medium,-1.0,0.6,-0.6
BA,09702310,2016-10-27,HOLD,-0.006280092108017624,-0.0019538064336054786,0.014095317842439538,0.08638615588584185,BOEING,STALLARD      R,2016,Hold,High,0.0,1.0,0.0
CHV,16676410,2010-09-13,OUTPERFORM,0.008201892744479567,-0.008958990536277524,0.025993690851735043,0.07078864353312302,CHEVRON,MOLCHANOV     P,2010,Hold,Medium,0.0,0.6,0.0
NIKE,65410610,2010-12-22,OVERVALUED,-0.012880966072455487,-0.009890741805635416,-0.03703277745830936,-0.008740655549166245,NIKE INC,HOTTOVY       R,2010,Sell,Medium,-2.0,0.6,-1.2
MMM,88579Y10,2016-02-01,NEUTRAL,0.03476090902978561,0.013043770591003829,0.0603106300006724,0.1188058226316143,3M,JOYCE         S,2016,UnderPerform,Medium,-1.0,0.6,-0.6
MMM,88579Y10,2013-12-11,BUY,0.007020588467302921,0.07911966553601013,0.08961110672872127,0.028950067050563938,3M CO,O'CALLAGHAN   S,2013,Buy,Medium,1.0,0.6,0.6
PG,74271810,2010-01-08,BUY,0.01786896095301134,0.021178027796161503,0.018365320979483776,0.04765056254136338,PROCT & GAMBL,LONGLEY       A,2010,Sell,Medium,-2.0,0.6,-1.2
NVDA,67066G10,2013-11-18,UNDERWT/IN-LINE,-0.017110266159695763,-0.011406844106463749,-0.03643852978453732,0.017110266159695905,NVIDIA CORP,MOORE         J,2013,Buy,Medium,1.0,0.6,0.6
CHL,46625H10,2012-05-11,UNDERVALUED,-0.040584415584415584,-0.12040043290043298,-0.13609307359307363,-0.024080086580086594,JPMORGAN CHASE,SINEGAL       J,2012,Sell,High,-2.0,1.0,-2.0
PG,74271810,2014-07-11,2 MARKET PERFORM,-0.0027106949236076748,-0.010842779694430699,-0.018605224248398115,0.025874815179891677,PROCT & GAMBL,FERRARA       C,2014,Hold,Medium,0.0,0.6,0.0
HD,43707610,2017-12-05,BUY,-0.003281432689011051,-0.0014766747893532244,0.041071859935911496,0.04479070031223948,HOME DEPOT,MELICH        G,2017,UnderPerform,High,-1.0,1.0,-1.0
DIS,25468710,2018-01-02,OUTPERFORM,-0.01592128801431128,0.005992844364937404,-0.012432915921288019,-0.06135957066189624,WALT DISNEY,NOLLEN        T,2018,StrongBuy,Medium,2.0,0.6,1.2
BEL,92343V10,2010-04-22,NEUTRAL/NEUTRAL,-0.01810109289617498,0.00034153005464472065,-0.02015027322404382,-0.010928961748633906,VERIZON COMM,ARMSTRONG     J,2010,Sell,High,-2.0,1.0,-2.0
AAPL,03783310,2014-03-11,OUTPERFORM,-0.01744117494593206,-0.006006509764786966,0.010371373629164647,0.10757517725147772,APPLE INC,HARGREAVES    A,2014,Buy,Medium,1.0,0.6,0.6
CAT,14912310,2012-04-16,BUY,0.0014989694584973843,-0.022016113921678793,-0.08946973955405656,-0.1873711823121604,CATERPILLAR INC,LUSTGARTEN    E,2012,Hold,Medium,0.0,0.6,0.0
WMT,93114210,2013-09-08,BUY/NEUTRAL,0.02438352390136367,0.05276208844193402,0.01887312301969955,0.08844193415070947,WAL-MART STRS,FASSLER       M,2013,UnderPerform,Medium,-1.0,0.6,-0.6
